[English],11,1,,4,"September 16, 2018 ",Really tasty food!!,"Madrid, Spain","We went there hoping to find the usual flavours of asian cuisine but we got really impresed with the quality and quantity of the dishes! The fried duck with rice, coconut milk and curry is awesome! The price is really nice aswell!"
[English],11,2,1,5,"February 17, 2018 ",Very good food! Great value!,,Classic Thai food. Large portions and very tasty. Visited for lunch on a Saturday. It is a spacious place. Service could improve though!
[English],11,284,103,4,"October 6, 2017 ",Lunch special,"Lund, Sweden","Very good food. Chose the green chicken curry, rated very hot, and the heat was moderated by a creamy coconut sauce. Good size portion. Bad presentation. The dish was served on an oval plate with soup/sauce almost to the edges and an island of rice....More"
[English],11,85,16,4,"February 6, 2017 ","Good food, good value","Fairborn, Ohio","I had dinner here on a Sunday.  I started with spring rolls, which are Vietnamese... they arrived piping hot, and were delicious.  My main course was fried duck, served with a garlic sauce.  (In my part of the USA, you really can't get duck at...More"
[English],11,43,7,5,"October 3, 2016 ",Tasty but spicy! ,"Mumbai, India",Good food and nice ambiance but rather spicy food. The table are far apart enough to enable a serious conversation.
[English],11,38,26,4,"September 21, 2016 ",Well spiced food to really good price,"Varberg, Sweden",We went to Ha Long for a business lunch. They had four dishes to choose from. I had the most spicy one and I was amazed that they actually had the courage to really spice it up. Well done! The portion size was also great...More
[English],11,6,5,5,"April 25, 2016 ",Absolutely best asian restaurant,"Lund, Sweden",I eat here often. The food is for me the best asian food in Lund. The service is nice and always with a smile. Lunchtime there are 3 or 4 choices. After that you can order from the menu. Absolutely worth a visit !
[English],11,123,46,5,"March 25, 2016 ",Excellent value.,"Uppsala, Sweden","Very low prices for eating out in Sweden, fast food level on the prices. If you know that and come with similar expectations, you will be greatly surprised. The thai food (we had green and red curry with shrimp/chicken) was excellent and can often be...More"
[English],11,97,23,4,"December 30, 2015 ",Happy!,"Lund, Sweden",We have visit the restaurant several times over the past 10 years and keep coming back. Great selection of food both vegetarian & meat. Lovely soups and noodle dishes always served with a smile!
[English],11,10,9,3,"March 5, 2015 ",Good oriental food,"Helsingborg, Sweden","Place was nice, food and waitresses were good. Price was little higher than expected for a ordinary dinner but i would go back again."
[Swedish],28,1,,5,4 weeks ago ,Jättetrevlig personal och alltid mycket god mat.,,Ofta väljer jag en stark rätt och ibland efterrätter och förrätter. Personalen är jättetrevlig och det är en familjerestaurang med...More
[Swedish],28,6,2,5,"October 31, 2018 ",Rune o Annika,,Testade kyckling istället för biff som jag alltid äter annars. Blev helt överraskad av hur gott det var. Älskar detta...More
[Swedish],28,35,4,3,"October 13, 2018 ",3-,"Malmo, Sweden","Soppan var god till förrätten. Styrkan bra på huvudrätten, men det smakade inte något speciellt. Min vän var allergisk och...More"
[Swedish],28,27,13,5,"October 11, 2018 ",Bästa thaistället i Lund,"Stockholm, Sweden",Supergod mat och trevligt bemötande! En absolut favorit för avhämtning av mat när man är trött och stressad och ej...More
[Swedish],28,51,4,4,"August 19, 2018 ",Gott och mätt!,"Karlskoga, Sweden","Första besöket här för en enklare middag med några arbetskamrater. Snabb service och trevlig personal, var inte så mycket folk...More"
[Swedish],28,2,,3,"June 13, 2018 ",Supertrevlig personal!,,"Personalen här är jättetrevlig och servicen var bra, men maten nådde tyvärr inte upp till samma nivå. Helt ok!"
[Swedish],28,16,,5,"April 19, 2018 ",Mycket mat för pengarna !,"Lund, Sweden","Har varit här flera gånger och blir aldrig besviken.
Finns mycket att välja på, får alltid mycket mat för pengarna....More"
[Swedish],28,12,,5,"February 27, 2018 ","Otroligt god mat, väldigt genuin vietnamesiskt!","Lund, Sweden","Trevlig personal, mycket god genuin vietnamesisk mat. Få platser har så många goda rätter och det är en restaurang som...More"
[Swedish],28,29,3,5,"February 11, 2018 ",Rekommenderas!,"Lund, Sweden",Trevlig restaurang med god mat och stort utbud. Stora portioner och bra service med personal som alltid har ett leende...More
[Swedish],28,187,22,4,"December 17, 2017 ",Bra take way!,"Vasteras, Sweden",Vi åkte dit och hämtade take away för fyra personer och blev överraskade av den trevliga kryddningen och de vegetariska...More
[Danish],1,95,19,4,"August 19, 2018 ",Velsmagende mad til attraktive priser,"Frederiksberg, Denmark","Vi havde en fin oplevelse med bestilling af pad thai og green curry,omend deres curry var meget stærk, så det...More"
[Italian],1,344,103,4,"June 8, 2017 ",Piacevole,"Rome, Italy",Molto disponibili a tirare ben oltre i limiti un orario che per noi italiani è decisamente impossibile (chiusura alle 9...More
[Polish],1,12,8,3,"October 24, 2017 ",Wietnamski bar,,"Restauracja bardziej wietnamska niż tajska. Poziom bardziej baru, niż restauracji. Ale po pierwsze nie było źle, jedzenie nawet smaczne, choć...More"
