Spisen Restaurang &amp; Bar,/Restaurant_Review-g189838-d5949039-Reviews-Spisen_Restaurang_Bar-Lund_Skane_County.html,99,3.5,$$ - $$$,15 Kiliansgatan,223 50,FoodEstablishment
Finn Inn Restaurang,/Restaurant_Review-g189838-d4176637-Reviews-Finn_Inn_Restaurang-Lund_Skane_County.html,18,4.0,$$ - $$$,Dag Hammarskjolds Vag 2,22464,FoodEstablishment
Sugoi,/Restaurant_Review-g189838-d13558002-Reviews-Sugoi-Lund_Skane_County.html,10,4.0,,Fabriksgatan 6,22236,FoodEstablishment
Restaurang Edison,/Restaurant_Review-g189838-d5956715-Reviews-Restaurang_Edison-Lund_Skane_County.html,16,4.0,,6b Emdalavaegen,223 69,FoodEstablishment
Korvhuset,/Restaurant_Review-g189838-d6884269-Reviews-Korvhuset-Lund_Skane_County.html,17,4.0,$,2B Oestra Maartensgatan,223 61,FoodEstablishment
Restaurant Spice and Curry,/Restaurant_Review-g189838-d8116387-Reviews-Restaurant_Spice_and_Curry-Lund_Skane_County.html,47,3.5,$$ - $$$,8A Vaarfrugatan,223 50,FoodEstablishment
Cafe Botan,/Restaurant_Review-g189838-d10463802-Reviews-Cafe_Botan-Lund_Skane_County.html,10,4.0,$$ - $$$,20 Oestra Vallgatan,223 61,FoodEstablishment
Paradis Biljard &amp; Restaurang,/Restaurant_Review-g189838-d5958624-Reviews-Paradis_Biljard_Restaurang-Lund_Skane_County.html,10,4.0,$$ - $$$,Bredg. 10,222 21,FoodEstablishment
Asian Express,/Restaurant_Review-g189838-d10521859-Reviews-Asian_Express-Lund_Skane_County.html,22,3.5,$,10 Vaestra Stationstorget Lunds Central Station,222 37,FoodEstablishment
"Botulfs, Cafe Bar o Restaurang",/Restaurant_Review-g189838-d1042624-Reviews-Botulfs_Cafe_Bar_o_Restaurang-Lund_Skane_County.html,25,4.0,$$ - $$$,Varfrugatan 8,,FoodEstablishment
ECOfresh,/Restaurant_Review-g189838-d6884249-Reviews-ECOfresh-Lund_Skane_County.html,10,4.5,,1 Kattesund,222 23,FoodEstablishment
Delphi Pizzeria &amp; Restaurang,/Restaurant_Review-g189838-d8371879-Reviews-Delphi_Pizzeria_Restaurang-Lund_Skane_County.html,12,4.0,$,55A Magistratsvaegen,226 44,FoodEstablishment
Cafe Ariman,/Restaurant_Review-g189838-d6998447-Reviews-Cafe_Ariman-Lund_Skane_County.html,36,3.5,$$ - $$$,2 Kungsgatan,223 50,FoodEstablishment
Punjabi Restaurant,/Restaurant_Review-g189838-d3838344-Reviews-Punjabi_Restaurant-Lund_Skane_County.html,89,3.5,$$ - $$$,59 Stora Soedergatan,222 23,FoodEstablishment
Viggo Restaurang &amp; Bar,/Restaurant_Review-g189838-d789031-Reviews-Viggo_Restaurang_Bar-Lund_Skane_County.html,106,3.5,$$ - $$$,Bangatan 1,,FoodEstablishment
Restaurang och Cafe Inspira,/Restaurant_Review-g189838-d8762842-Reviews-Restaurang_och_Cafe_Inspira-Lund_Skane_County.html,7,4.5,,2 Scheelevaegen,223 63,FoodEstablishment
TeKulturen,/Restaurant_Review-g189838-d5956557-Reviews-TeKulturen-Lund_Skane_County.html,7,4.5,$,Slojdgatan 13 Only 100 meters from the Train station,227 36,FoodEstablishment
Annas Kok,/Restaurant_Review-g189838-d2318336-Reviews-Annas_Kok-Lund_Skane_County.html,30,3.5,$$ - $$$,2 Avtalsvaegen,227 61,FoodEstablishment
O'Learys Lund,/Restaurant_Review-g189838-d3518918-Reviews-O_Learys_Lund-Lund_Skane_County.html,52,3.5,$$ - $$$,14B Klostergatan,222 22,FoodEstablishment
Shiraz,/Restaurant_Review-g189838-d9150163-Reviews-Shiraz-Lund_Skane_County.html,15,3.5,$$ - $$$,1 Maartenstorget Saluhallen,223 51,FoodEstablishment
Bengtsons Ost &amp; Vinhus,/Restaurant_Review-g189838-d1042622-Reviews-Bengtsons_Ost_Vinhus-Lund_Skane_County.html,13,4.0,$$ - $$$,9 Klostergatan,222 22,FoodEstablishment
Restaurang Viva,/Restaurant_Review-g189838-d3499373-Reviews-Restaurang_Viva-Lund_Skane_County.html,5,4.5,$$ - $$$,10E Karhoegstorg,223 58,FoodEstablishment
Sushi2go,/Restaurant_Review-g189838-d8368940-Reviews-Sushi2go-Lund_Skane_County.html,15,3.5,$$ - $$$,24 Spolegatan,222 20,FoodEstablishment
Martas,/Restaurant_Review-g189838-d7624261-Reviews-Martas-Lund_Skane_County.html,6,4.5,,6 Sankt Petri Kyrkogata,222 21,FoodEstablishment
Chocolaterie Hovby No 9,/Restaurant_Review-g189838-d12415546-Reviews-Chocolaterie_Hovby_No_9-Lund_Skane_County.html,4,5.0,,Stora Grabrodersgatan 3,222 22,FoodEstablishment
Graffiti Cafe,/Restaurant_Review-g189838-d8644000-Reviews-Graffiti_Cafe-Lund_Skane_County.html,15,3.5,$$ - $$$,4 Stora Graabroedersgatan,222 22,FoodEstablishment
Aptiten Pizzeria,/Restaurant_Review-g189838-d5949191-Reviews-Aptiten_Pizzeria-Lund_Skane_County.html,16,3.5,$,11 Aellingavaegen,227 34,FoodEstablishment
Pizzeria Avesta,/Restaurant_Review-g189838-d877264-Reviews-Pizzeria_Avesta-Lund_Skane_County.html,37,3.5,$,Byggmastareg. 11 C,,FoodEstablishment
Pizzeria Portofino,/Restaurant_Review-g189838-d5936359-Reviews-Pizzeria_Portofino-Lund_Skane_County.html,8,4.0,,3 A Sofiavaegen,222 41,FoodEstablishment
Annes &amp; Stortorgets Konditori,/Restaurant_Review-g189838-d5972034-Reviews-Annes_Stortorgets_Konditori-Lund_Skane_County.html,5,4.5,,5 Kung Oskars Vaeg,222 40,FoodEstablishment
